Sentence,Label
个人感觉，大面积气势磅礴的花海我投票给云南罗平；小桥流水人家型的投票给江西婺源。PS:感谢推荐我的图片。,0
各银行卡的优缺点，保证你会用到！,0
今天晚上喝的客家米酒，真棒！,0
故意的？我们和玛吉啊米是不同的两家改名了？风格还一样不？昆明的玛吉阿米呢不是，是个老宅子，西藏版的“乔家大院”是不是某个电影片段在这？2012改邦达仓了，来拉萨没有去过邦达仓也out了,0
虫子的春天～牛屁了的黑山猪系列,0
你好单纯，看你不顺眼辞退哦,1
懒成这个样子还发什么文章还博士还老师我是亻尔学生口马天天使唤来使唤去的亻尔tm脑子有病,1
认为亻尔是亻囟儿夂辶畐的点赞认为曹金是叛徒的点我,1
完美的结局，神圣的礼堂！有情人终成家属了喜欢莫柔，更喜欢杨帆,0
2014年2月4号，晨，8：00点钟正，立春大马头我们的小公主总算出生了母女平安七斤。,0
长得真有创意，活得真有勇气,1
种马？男宠罢了，还自鸣得意,1
不要激动，好好吃,0
可能观测到大部分黑人智商测验并不如白人，或者是某些物理基础，但是他没办法排除掉“黑人受教育、得到资源比白人少”对这个结论的影响，也就是说这个结论可能是个社会性结果，他作为一个著名生物学家这么说，太具有误导性。我认为这不是学术和政治，这是沃森说话欠考虑了。,1
你也是个看不懂别人说什么就张嘴的喷子。这是在怪联盟吗？看的懂中国字吗？这是在喷美国白皮自己编故事YY自己杀印第安人有理奴役黑人无罪，看懂没？,1
演反派不是健康的形象?！！！我理解的没错吧。。。虽然他很拼命，但是我一直都不喜欢想这个人，看着那些对女星色眯眯的，然后上下其手，就很恶心他,1
理解用户的挣扎//?嗦很多，答案参见如上链接。.....百度目标寻址搜索的比例在所有搜索比例多少，趋势如何？与谷歌，搜搜对比如何，为什么？,0
丑ba怪,1
当时我是拉板胡的，师从上海音乐学院唐春贵老师张老师怪不得鉴赏的音乐全是国际大咖级，不会是是艺术团“萨克斯组”的吧，哈哈推荐大家认识这个小伙子，靠谱的！澳大利亚悉尼内西区华人商会，老爸是我中学的同学，当时我们都是吴淞中学艺术团的。,0
萎缩便抬,1
城外三十里火光冲天烧的就是你妈飘零的骨灰。,1
李老板生快啊,0
00巴黎圣母院11少！！！了你这个敲钟的。,1
帅气的孩子！,0
tfboys_fanclubtfboys组合我一丨丨亻尔女马啊，亻尔特么可以一夕匕了，自己旗下艺人都保护不好亻尔等着吧,1
哈哈哈哈。。。这个猫的眼神霸气侧漏啊。。有木有？,0
什么jb玩意儿古味再见麻烦你们酱铺不要再玩这种套路了不然真yao丸,1
举四爪赞成，最爱面包,0
补偿这个不一定 因为他们美国没这么好心 是因为黑人比亚洲人更早的有移民 所以有更多的时间定居 然后为自己的权益斗争 还有就是黑人敢反抗 亚洲人不敢,1
兄，你有没有遇到过啊？,0
很有兴趣！！！是的。武老师有兴趣？这是丹灶吗？要联系联系好野！前背！村夫，呢个要奖励先得！其实我早就拍摄过了，是丹灶镇西城伏水村啊！哈哈！,0
生活再苦再累，请在心里对自己说：给老子笑。,0
山东吸血鬼差不多得了,1
这个拥抱的前后，差距太大鸟~~好感人,0
我想大黄了，我们给小佳宝养匹小马吧,0
必须点个……赞！！，这餐厅，“话题”传播有搞头…………！！,0
#微爱#我们也开始玩微爱啦！这是专为情侣设计的甜蜜应用，超有爱！情侣专属的聊天工具，逗死人的变音、各种纪念日，还可以记录点点滴滴，俩人的私密空间，有另一半的都来看看吧，超sweet超好玩！,0
实在气不过希望亻尔速速跪下感谢亻尔爹扌品木亻尔这犭句婊子,1
如果思考是生存的证明，我真难判断亻尔是不是一具尸体,1
那得看她是谁?有这样的男人吗？？估计够呛。,0
呵呵，是位学生朋友？欢迎，祝考试顺利～标记上，考完试去看新书到馆、欢迎会员免费领取――《宠物情缘》咨询电话见主帖~,0
喜欢读谢啦。小丫头。Cool~信息量很大...“被庸俗的美国文明同化”,0
看你无理取闹的样子，你不愧是爱男的男孩子一枚,1
哈哈哈，听他说话的男人也很悲剧，哈哈哈笑死了。相当到位啊！总结的很全面必看精品，火速围观啊！,0
重口味的节奏,0
张张都精彩京菜，京菜,0
嘴角上翘，好像在笑！,0
偶与大爱建筑大师扎哈-哈迪德ZAHAHADID滴合影~~不容易啊！！感谢,0
"#吃货游踪#看到美食就饿到不行的童鞋，不如先来个汉堡解解馋吧，地址在这儿：5098TelegraphAve,Oakland,CA94609-2014",0
"这个问题要匿名答。,在知乎，亚裔在美国被歧视，是种族歧视链最底层，才是知乎用户喜欢的答案。你说黑人更被歧视，肯定要挨骂。,在知乎，必须骂ABC都是没骨头的叛国贼，ABC女和中国女留学生都是easy,girl，才是标准答案，不这么回答，",1
sb足协sb裁判黑哨人王tm给你们丫拘了,1
人生没有彩排，每一天都是直播，不仅仅收视率低，而且工资不高。谁下乌鸦一般黑？其实一个更比一个黑,1
扔块肉在手机上，狗都比你会连招。,1
为44什么不理我是7想1让我变成狗不理吗,1
在中国的黑人可以大肆辱骂中国人，还上了新闻！哈哈哈,1
爱屎了！,0
如果是双层的，那就是英国的；如果有这么多层，那一定是印度的了。哪个国家,0
操！在我家门口还不叫我！今晚人比较齐，就少你阿？好像从我这过去不远啊，是惠新西街那？我走着去啊，现在出发！,0
做出这种事的认，该回娘胎重塑了吧,1
真是会给女的洗白，男的被跟踪了一年到你们嘴里被说的这么轻描淡写，女的骚扰男的案件很多，只是很多都没有媒体报道,1
一眼看上去真像。。。,0
……哎呀，可千万别这样，千万别这样，我今天晚上要是高兴死了，以后就去不了了……没问题，放心！凭此微薄，我再送你大份黑胡椒炒花蛤如何，土豆沙拉随你你多少份--都送,0
你这歌人怎么长得这么萎缩,1
如此贴心的节目嘉宾，我和深表感谢，#周末驾到#欢迎有空常来“闹”～提前祝大家情人节快乐～！,0
亻尔的长相突破了人类的想象...,1
要是不按照潜规则，就是伪造国家机关公文罪，5年以下。北京厨子新号:不起诉亻尔女马辶畐,1
现在有的科学家，写论文还真敢yong词儿，nearperfect都来了，你脸咋恁大呢。,1
成龙大哥赶快代言地产吧,0
要不是老师说不让随地扔垃圾，我早就把亻尔扔了,1
Youraisemeup好基友这太给力了！,0
我笑了，当初你不挺傲的吗，此刻您这是又玩哪出呢,1
zhangde真有创意，活得真有勇气,1
诶呀，所有被盗的车都上过锁，所有离婚的夫妇当年都摆过50桌，毛主席也没说过这么经典的语录呀/所有被盗的车都上过锁，所有离婚的夫妇当年都摆过50桌――――你修好片后，请把这句话放上照片，图文并茂的发给你的客户嘛，加量不加价，友情赠送。。。。,0
一会儿就去吃个支持一下,0
"自从我看到beyonce面对她的粉丝以\""我希望我的女儿能够看到一位女性成为我们的总统\""这样蹩脚的理由去给希拉里拉选票的时候，我就觉得这帮所谓为人民发声的白人黑人超级虚伪，她不知道一个女人也可以干出比男人还可恨的事嘛？",1
能认识??是人丨什么东?，都是好样的。,1
热切期待粉粉滴光临哦~今天晚上再去只只经典、款款诱惑，忍不住口水啦，吃货朋友们有木有~,0
Sabi,1
中国联通怎么这么恶心反正就是不停扣亻尔钱把亻尔扣到一夕匕为止中国联通exome？？？辣鸡以后绝对不会用联通并且给所有人洗脑,1
新版cooool2333333233确实，凭这个基本上就能确定三观是否一致了,0
一起来看看我们今天拍卖的这幅画作吧。《粉红伊斯坦布尔》。献上大师与他的作品的合影。超级美！,0
sj发现我什么时候跟你用了绿茶biao的手段了吗？没有吧？绿茶biao的手段能让你迅速听话，效果显著，而在别人眼里你就变成可怜虫，大傻子了。我没用多少。就几次。大黑无形。你肯定没发觉。你还敢觉得你长心眼了。,1
哥们儿，瞧你这iq……是加利敦（家里蹲）大学物理（屋里）系的吧,1
明天当然不是末日，大家都来九江吧！如果明天不是末日，那么你一定要来美丽的九江哦,0
在四川如果不吃辣，周围就像看怪物一样看你，当听说你是北方人，就说哦哦北方就是不吃辣什么的。然而我就是遗传了我那土生土长的四川人老妈而不吃辣，反而我那土生土长的河北人老爸是无辣不欢 都是一群地图炮讨厌的很，动不动就乱加标签,1
用洗衣粉洗衣服，衣服沾上了洗衣粉香味就等于被化学药品腌入味了你长这么大不会一次澡都没洗过吧，我的天，那得臭成什么样啊,1
刚听完许巍此时此刻新碟试听会。我说新专辑很棒！编曲异常出色！他浑然天成的共鸣腔和刚好的沧桑，宛若浮世里的世外桃源，空谷里的蓝莲花！听许巍能让心沉淀！空谷幽兰喜悦爱情此时此刻逍遥行世外桃源可以每一首都推荐吗我在:,0
这个东西真的sha逼。。,1
黑人那是赤道晒得吧，大热天做题谁做的下去，美国黑人，在同教育下，智商不低的，如果没歧视经济等因素影响的话，高智商里谁多不一定呢。 黄种人繁衍。。。明明jj最小啊，精液也少啊。,1
不是，中国人对种族歧视的标准是：只有我可以歧视别人，别人不可以歧视我。中国人反对的不是“种族歧视”，而是反对“歧视中国人”。中国人简直爱死种族歧视了，什么倪哥棒子阿三越南猴子，那都是妥妥的劣等民族，,1
反正死的都是我们河南人，活该啊。死的越多偷你们井盖儿的越少。你们这些外省人不该谢天谢地？,1
不抽这一口下一秒他全家都会螺旋升天,1
你怎么抢我台词微博只有抽奖的互联网乞丐男宝一枚吖,1
知道你妈也愿意跟他睡了，你以后也找这么个脏黄瓜呗？,1
准点下班，明天各位有好吃的了！,0
想吃红烧肉的童鞋注意啦。。想吃传奇红烧肉的童鞋们注意啦。。你们在哪里？,0
多谢?这金刚盘的漂亮?没有干盘的新年好！品相真好，干净，漂亮，?上油的吧！,0
美时美刻，四季养生。北塘古镇客户俱乐部系列活动之“乐享瑜珈大美人生”。,0
要移民火星，是为了要离开亻尔,1
不要走~~~~，我很喜欢你的微博的！天天刷我会上瘾吗?晨初老师，别这样啊，但愿你是在开玩笑。天天刷的就是你啊。,0
卖皮炎还卖出优越感了,1
就是啊，那他（她）得多可悲捡到刷爆,0
但是感觉有点恶心啊，这都能下嘴，这个男生好惨,1
重点在于心态。,0
问题=机会1）公司的问题，就是晋升的机会；2）客户的问题，就是销售、精进的机会；3）自己的问题，就是自己裂变的机会；4）同事的问题，就是建立人脉的机会；5）老板的问题，就是赢得信任的机会；6）竞争对手的问题，就是变强的机会！,0
洗面奶护肤水身体乳这些男生都可以用的啊但事实上有几个男生会注意自己的形象要知道男生可是干净一点就能成为帅哥的….有能耐你们也腌入味儿啊别把不爱干净当成骄傲,1
你就让他们相信中国不好呗，你管他呢是他爹吗还给他义务教育…他们相信中国不好是因为他们希望中国就是差的，那就让他做瞎子去吧,1
2014必须红火！,0
你们两个专业打酱油么？怎么谁的酱油都打呀？去看看？Dara要来北京拉将于4月19日在北京万事达举办“AllOrNothing”演唱会，新晋男团Winner有望任嘉宾。妹纸们在中国的首次正式亮相，支持起哇~,0
周末加班的我。邪恶了……,0
跟炖监狱没区别，有吃有喝，里面打不开外面能打开，,1
估计这个女的卖的东西也是用这种方法骗来的吧。这就属于诈骗啊，你当初为什么不报警啊，就算报警没有用，也得搅和搅和她。,1
三天能看出个鸡毛啊同事都没认全几个,1
艾呀，梅事的,1
小清新的火龙果盆栽~！好美啊！,0
wowGETTYcorbisIC完全都没拍到,0
原来男的真的不关心男性吗，怎么男性比女性多那么多人发声时人就不见了,1
那个男生恶心透了,1
强！,0
大学叫兽,1
"你说的这种，把男人当工具人的，归于田园女拳，其实田园女严格说来不属于真正意义上的女拳，她们躲在女拳背后捞点好处而已，属于危害最底层次的女拳，这类的，自己不要当舔狗就行了！,比田园女层次高点的，竖立男女对立，",1
北方人他妈的都是亻囟儿夂辶畐,1
搞清楚，原答案只说生活琐事，没提男方出轨，如果出轨我劝人干嘛！踩了你痛脚?出来乱咬人！,1
祝永远幸福！！！,0
把您的名字最后一个字加神，会出现____。如天神！,0
好！,0
隔壁那幢楼的邻居真是勤劳又能干啊，才11：20就开始炒菜，说准备吃饭了。我一个小时以前才起床呢。,0
终于看到浴袍照回家丢脸去了偶们又来了重庆的六个神经病已经享誉天津了，这是要红向全国的节奏啊！温泉很美好，谢谢#百名达人游津城#,0
若是你拿苹果5的话，我拿果4跟你换/我报了“人文”类，拉票时间等到mini搞到手，见面一人玩一次,0
【#超级笑星#微直播】5号选手徐菁瑶用树叶来问好，小姑娘年龄小，身段好，嗓子好，又聪明，多才多艺，连王晶导演都说了“徐菁瑶很可爱，很漂亮，她要签的话，我马上签”让小编好羡慕啊~,0
有可能他们网上只是性别是男女，有的男宝不过是被我戳穿了，在一般里。,1
真的讨厌东北没素质的人,1
今早太欢乐了，我觉得这招比离婚好留存备用离婚神马的弱爆了。这都行？！,0
csdxzz,1
小样吧！！,0
尼回头吓到一排教学楼，你回头山崩地裂水倒流，你回头哈雷彗星撞地你回头姚明改打乒乓球,1
白叔叔您是我们年轻厨师的楷模快二岁了白舅舅，我妈说您的外孙子真可耐，她问小外孙多大了？传承随园菜咱是责任真不错，拍的很有意境，白爷任重道远,0
我操亻尔女马辶畐气死我了,1
"444要点。,,b脸",1
可耐的小裤裤,0
“上海女生都娇气败家，任性抠门，作，不懂体谅人”,1
想出去的同学们参考下。少年不努力，一生在内地啊。转给同学奖学金港币2万一个月，一年24万。还有其他的免学费住宿费啥的，加起来据说三年81万。总的来说，钱多事少离家近。还有哈，老师特别赞！,0
网易的策划都是丁磊养的猪,1
好好考试哦~~考完了来黄土谣吃羊肉泡馍~~,0
天涯老帖，挺韩公知太形象了,0
exin,1
支持告，告他么的，谁撤诉谁是答辩,1
这鸡翅，真特么辣！真特么香！当餐馆老板，不就这点好嘛――想吃啥随时有人伺候着~,0
必须要啊，地址发我手机，回家打包行李悲了个催的~我正感冒呢~~要不要和我去住丽丝卡尔顿啊~~欧了个克啊，带你去喝酒~,0
我反对种族歧视，但我讨厌黑人,1
真论抢劫，干坏事黑人比得了白人？人家白皮才是真正的行家,1
欢迎,0
#高级定制#VCA定制系列超美16花...这是我最喜欢的一款长项链，大大小小的花朵超级有型，时儿高贵复古范儿，时儿潮暴装备必需品...大爱啊大爱啊...各种材质都可以预订哦！基本款式有／黑玛瑙+灰贝母+白贝母／青金石／孔雀石...喜欢的童鞋们赶快吧???...,0
他们说我今天是粉红女！哈哈，一身粉嫩！,0
潮忻土忻傻傻分不清楚,0
请问文火炖的是什麽肉呀？这张有那么点强调了,0
你读书少，看不懂套路不怪你,1
看你奏各路都昂首挺胸的，怕别人不知道你是飞机场吗,1
最后还是忍住没吐，恭喜！,0
造谣户口本是剩一人嗷,1
铁csdx,1
发行很到位，辛苦啦大家来瞅瞅,0
????,0
乔口越来越热闹哦,0
你真是的，人家同意你揣回家了吗,0
亻尔光着身子追我两公里我回一次头都算我是流氓!,1
立flag，j222jk的c555位多我就再买一张，不多就qnmlgb吧，滚你的区别对待吧，质量不要求和别??人一样，至少数量上对齐吧。,1
几tian不cao你，文爱技术jian长啊,1
寻找同人！该房间现有新派公民寻求合租：单身女性，非常喜欢新派，现寻觅共同合租开间的女性！有意者请私信或拨打电话与新派联系：65258366、65131799！,0
作为一个山西人，表示你不用理会他，大部分山西人思想落后且蛮横，不需要对他们友好。,1
人妖给摸我也要去的你个花痴哦说不定明年就换人妖了估计明年更加多，明年我要去看的公司没下限了,0
瀑布瀑布呢,0
嗯呢你不讲卫生你有理,1
有。,0
真百搭史上最万能的广告片，亮点很多，要hold住！作者太有才了,0
当代小仙女现状,1
难道全世界都歧视黑人？肯定没有 那就不存在任何歧视黑人了吧？按照你这个理论 全世界什么矛盾都没有了吧？白莲圣母同学. 说话都不带脑子,1
"真正的无知装逼吊丝泼妇,不是来自菜市场的师奶,而是那些有病发烧三天、无病呻吟说“懒得理你”却滔滔不绝并大喊“大家来评评理”的人欢迎评理",0
一丨丨一夕匕亻尔,1
面壁去了。面壁去了,0
谢谢，知音啊男人胖点挺好现在199斤你能瘦到200以下再说＂瘦了＂我都瘦了你就吃吧,0
#李公堤御庭#活力苏州，传统苏州，水乡苏州，一边是传统园林的优美与静雅，一边是摩登城市的繁华和光影，不同的视觉，不同的苏州感受?而李公堤上的御庭有异曲同工之效喔，欢迎亲们来苏州喔喔,0
你就是新时代的武?,0
是三亚的悦榕庄吗？全换新衣服了男人也爱~~~,0
嘉里健身和嘉味也在现场哦，欢迎各位童鞋去一试身手谢谢志愿者和工作人员的辛勤准备工作，今天将在京西学校为大家奉献一场美味橄榄球大餐！#NFL主题公园北京站#,0
活动详情http://深夜，最温暖你心的食物――每个忙碌的都市人都希望有这样地方，在最平凡食物里，品尝到最不平凡的百味人生！我们准备好佳片美食，等你来分享美食故事～现场观众还可抽奖浦睿提供《深夜食堂》5~8集新书、笔记本、精美书签…,0
每次看到这头驴，我都会感觉自己的工作压力也不是很大。,0
造谣已定10.1出版，国庆献双礼。是，几次设计不满意，所以慢了，快出来了俞总，全国图书订货会书目上说毛尖的两本影评集出版时间是1月，现在都快五一了怎么还没上市？,0
哈哈我们的晚娘系宾个也有“晚娘”这个词的哦！羊晚的呢？,0
亲，祝您的父亲生日快乐，父母是伟大的～都太的这个店可以看海景，好好享受一顿美餐吧,0
发！烫着大金字的！等有娃了。我们接着吃要不要给我发个奖状呀。最铁煎饼果粉奖全景记录，那天我们自己看，都惊讶，我们原来还有这样的日子,0
1239年建立的因斯布鲁克是奥地利蒂罗尔州的首府，坐落阿尔卑斯山谷之中，意为“茵河”上的桥。小城保持着中世纪城市的容貌，狭窄小街上哥特风格的楼房鳞次栉比，展现出古城的风貌。著名的滑雪胜地，1964年和1976年两次举办冬季奥林匹克运动会。小丸表示夏天在茵河边远眺雪山吃冰淇淋超惬意的！,0
一大早马尔代夫就上排行榜，要好好利用，多给大家介绍马尔代夫这练手的地方八错，我恐机。一定要和他去马尔代夫，最向往的地方!,0
谢谢！祝用餐愉快！,0
要注意了！,0
拿你当?的777时候*，你尽量装得像点好吗,1
你这张脸可成了全球翅鸣品牌商标了。,1
谢领导支持,0
主要太吃藕，像个变态,1
二枚帅哥，二枚美女，鉴定完毕昕薇不只属于九零后零零后！,0
赐雨亭上布衣男（赐雨~~痴语）前来围观,0
???一起努力！接下来会更好！??,0
抽着玩儿,0
亻尔是不是看到咱们这样身心健康没有性病的市民就打心眼里愤恨呢,1
你护膝就是污染空气,1
留着当胎教超能锻炼思维的优秀电影，存了慢慢看。,0
我就yu闷，这年头的nc神经病怎么就这么多。。。总是阴魂不散的有本shi你冲我来啊，你别骚扰人啊,1
亻尔信佛口马？为什么不杀?？,1
女性占中国人口一半，婴儿占多少，说话过过脑子,1
谁同意出台的这个方案？我能扌品木亻尔女马口马？亻尔以为有钱人会在乎35%。40%的首付口马？我能报复社会口马？,1
你的逻辑是狗教的吧，你在一个官大一级压死人的地方想当官就说明你是混蛋？为什么你认为山东人不是为了改变他们的现状呢？,1
我还以为剪头发了呢,0
亻尔就像一个拼了老命想挤到上层社会也没成功的不精致但利己的亻囟儿夂辶畐精英价值观下的无知怨妇，一是由于亻尔对上层生活的迷信和极不清醒的认知，二是亻尔渴望纸醉金迷包裹的下流生活。苗千，我建议亻尔早点醒，亻尔一个小城镇地头土鳖家庭出身坐上了国际化高等教育快车的人不意味着有高阶思想,1
哟…你这是刚被雷过啊，还是准备去雷人啊,1
离开埃森哲之后，好像很久都没吃麦当劳了。今天其实很冷，但麦当劳里还是挺暖和的。看着吃惯的巨无霸，不由有些想念那些曾经帮我买过麦当劳的兄弟！我还有没有外卖钱没给你们啊？,0
来了来了tx孝子它来了,1
玩个黑人口音观众欢呼有什么问题？如果是因为唱了solo才欢呼，那观众才是逼格低的不行吧？得了您还是自己自嗨吧，我也没那么多功夫回你,1
moko大模特们辛苦了！在clubsuziewong拍摄了一天期待你们的大片儿,0
也许有时我们都太注重眼前的幸福却忘记已经拥有的美好，渐渐的，在不经意之间，时间将回忆冲淡，将心里的美好淡忘，也许到那时一切都会变成遗憾...所以我要学会好好珍惜~,0
太美啦！愿此美景伴您入眠,0
期待云南站~伸出你的手，一起献爱心,0
谢谢每一位表演的孩子！,0
一万个草泥马没见过这种亻囟儿夂辶畐贱人真是辶畐我喷血口，这二十多年了是吃屎长大的口马，导致脑子里壮衣的都是屎是吧！赶紧去死吧！,1
谁说猪的脑子最蠢我说猪的脑子最聪明，吃包了就睡，什么也不用想，肥肥胖胖的，只能说猪的脑子保养的好，你的脑子也是保养的最好的,1
嘘~东北人不要承认，在网上很受歧视的,1
喂喂喂， 觉得可怜 跟男女有关系吗？本人男，我就觉得她很婊，很白莲。所以这主要取决于智商好吧！,1
哇老师，你红了！为什么这张照片今天发疯般评论？,0
对亻尔，我实在想不出有什么语言和不一样人类的亻尔沟通,1
笑喷了,0
就是这样每天还有无数人挤破脑袋要进来哎伤不起啊伤不起帝都不给力啊！#北京说事#这词儿写得~~~,0
你那边，开玩了吗！,0
十次也不多啊！去过几次了！,0
卧槽亻尔二大爷的～老子今天跑人丨马都被盗号！而且亻尔发黄带我就算了，亻尔也发点好看的好口马………,1
朴sir好帅啊尹恩惠好美！朴Sir,0
我操亻尔全家,1
"这么不好脸，这么没,,,心没肺，你的体重就应会很轻吧",1
两小伙伴真是太可爱了~,0
第一次见，真心分辨不出是谁是谁，更别提真假了,0
亻尔活着就是污染环境,1
#天津喜来登大酒店/SPG俱乐部#告诉我你平时吃什么～～,0
亻尔不是脑?不好，就是缺根弦?；亻尔?脏倒是挺健康的，就是缺个目艮?。,1
希望美国带头，赶紧颠覆之。我们有人民搜索。。。原来是在布局。。。这边有童鞋说：不比不知道，一比心态好很多了。,0
艺术教育要从娃娃抓起小天才跳一段跟一段棒极了！,0
呵呵，迫于无奈的！nnd早知不打开wb真想骂脏话~~~没99办法，只能转一下kao，老娘自动看得到，先转吧，再骂两句靠！！大家别看！据说看见不就会有相同遭遇..，，....,1
酒店还不错，外面的吃喝玩乐环境也不错，快上菜吧,0
作者你哪来的脸在这说人家被黑人欺骗的女孩怎么怎么样，隐瞒自己得了艾滋和别人结婚时违法犯罪的啊，最后人家被人害死算了，,1
吃货们，哪天行动起来吧神马云南办啊，贵州办啊都可以,0
他妈心让犭句吃了这也算是公物吧道德在哪,1
现在看电影喝饮料不过瘾，改喝啤酒,0
你的父母因你而快乐，正因!!!你太像他们了，跟本不*像是买来的孩333子,1
还是黑点吧！！左上方还似渐变色,0
小仙女的就正确,1
亻尔说亻尔怎么这么亻囟儿夂辶畐,1
#雨枫直播#的梦里江南:《八九十枝花》赏鉴会。读者提问:怎样让自己的文字扎实、打动人?回答:写日记!.我在:,0
这tm和自费不自费有什么关系啊？人既然让你们报备了你随行人员本来就应该报备不然还有什么意义？啥玩意儿啊这是智商问题啊,1
。。。风行流弊！！我的妈啊够狠！风行，神一样的男淫风行网真男人！！！优酷中枪了，风行网男人了！！！,0
你说法治我都想笑.jpg,1
中国人也歧视黑人，美国人也歧视黑人，黑人自己也歧视黑人，,1
我爱你女马亻尔女马的遗照笑得真美,1
歧视黑人的人是不是种族歧视，是，那爱因斯坦歧视中国人，是不是种族歧视，肯定也是，这有什么好洗的。爱因斯坦就是种族歧视，和歧视黑人的人在种族主义上没两样。,1
国家怎陽不拿你的脸取做防弹衣,1
种萝卜也行我还可以烤兔纸你还有兔子我也有6只猫我也有小松鼠也许要试试烤饼干了。,0
不急于评价，姓全？是韩国人吧？我认为没亻尔爸强亻尔以为亻尔比狗强口马通过有选择的引入研究中国人心态。为下一次侵略与分裂寻觅链条。又找到一条犭句十几年前写过一篇口丩《昭和十八年》的短篇小说，写的是抗日的事。最近衤皮日本一家文学刊物翻译，他们甚至发信到黑龙江，很艰难的找到了我，并寄来了刊物和稿费。真是讲究人啊。想想衤皮出版商和网站坑蒙拐骗的事。皇军待我真是不薄，以后不抗日了，带着你们找八路去！,1
某些所谓的公知就是看不得国家好，天天瞎辶畐辶畐，有能耐亻尔一夕匕外国去啊，没人拦着亻尔。还辶畐辶畐这是航模，只是纸老虎，我他么想问问哪个航模能喷出涡轮气流？智障。诋毁也要脑子,1
lkd女宝可听不得这些,1
好多老师,0
哈哈，老婆你太可爱了！！,0
我就郁闷，这年头的nc神经病怎么就这么多。。。总是阴魂不散的有本事你冲我来啊，你别骚扰人啊,1
真的赶紧分清楚吧，这样就可以分清女性和藓女，省的误伤其他无辜女性,1
